id,geographic-area-name,median-income
0500000US40119,"Payne County, Oklahoma",41272
0500000US40125,"Pottawatomie County, Oklahoma",53511
0500000US40131,"Rogers County, Oklahoma",66132
0500000US40143,"Tulsa County, Oklahoma",57483
0500000US40145,"Wagoner County, Oklahoma",64319
0500000US41003,"Benton County, Oregon",70835
0500000US41005,"Clackamas County, Oregon",80294
0500000US41017,"Deschutes County, Oregon",71643
0500000US41019,"Douglas County, Oregon",48585
0500000US41029,"Jackson County, Oregon",56450
0500000US41033,"Josephine County, Oregon",47573
0500000US41035,"Klamath County, Oregon",56348
0500000US41039,"Lane County, Oregon",57325
0500000US41043,"Linn County, Oregon",61488
0500000US41047,"Marion County, Oregon",64306
0500000US41051,"Multnomah County, Oregon",72900
0500000US41053,"Polk County, Oregon",72914
0500000US41059,"Umatilla County, Oregon",60425
0500000US41067,"Washington County, Oregon",85734
0500000US41071,"Yamhill County, Oregon",72904
0500000US42001,"Adams County, Pennsylvania",67715
0500000US42003,"Allegheny County, Pennsylvania",64871
0500000US42005,"Armstrong County, Pennsylvania",57636
0500000US42007,"Beaver County, Pennsylvania",60672
0500000US42011,"Berks County, Pennsylvania",67708
0500000US42013,"Blair County, Pennsylvania",51004
0500000US42017,"Bucks County, Pennsylvania",93767
0500000US42019,"Butler County, Pennsylvania",72262
0500000US42021,"Cambria County, Pennsylvania",49076
0500000US42025,"Carbon County, Pennsylvania",61111
0500000US42027,"Centre County, Pennsylvania",60706
0500000US42029,"Chester County, Pennsylvania",102016
0500000US42033,"Clearfield County, Pennsylvania",45643
0500000US42037,"Columbia County, Pennsylvania",54570
0500000US42039,"Crawford County, Pennsylvania",49428
0500000US42041,"Cumberland County, Pennsylvania",75391
0500000US42043,"Dauphin County, Pennsylvania",60733
0500000US42045,"Delaware County, Pennsylvania",77339
0500000US42049,"Erie County, Pennsylvania",51818
0500000US42051,"Fayette County, Pennsylvania",48509
0500000US42055,"Franklin County, Pennsylvania",62484
0500000US42063,"Indiana County, Pennsylvania",51914
0500000US42069,"Lackawanna County, Pennsylvania",53826
